,0
0,1.0
1,1.0020061932416742
2,0.9984599316827582
3,0.9982271607272921
4,0.9952603672120612
5,0.9982271607272921
6,0.9952968503692374
7,1.0
8,1.002006193203727
9,0.9984598912211794
10,0.9982271615099811
11,0.9948185305614261
12,0.9982271615099811
13,0.9948910280096891
14,1.0
15,1.0019881167472675
16,0.9985286409517293
17,0.9984923925095321
18,0.9953522575490835
19,0.9984923925095321
20,0.9954190237174523
21,0.11731722593307495
22,0.11633965492248535
23,0.1539176869392395
24,0.11349725961685181
25,0.11231664657592773
26,0.1646616268157959
